Review ID,Topic 0,Topic 1,Topic 2,Topic 3,Topic 4
1,0.10002831,0.10002755,0.59988874,0.1000272,0.100028194
2,0.1000283,0.100027554,0.59988874,0.100027196,0.100028194
3,0.10002829,0.10002755,0.59988874,0.100027196,0.100028194
4,0.1000303,0.5998793,0.10003111,0.1000291,0.10003018
5,0.73143065,0.06667692,0.067046456,0.06816933,0.06667668
6,0.59988415,0.10002849,0.10003004,0.100028135,0.100029156
7,0.100028306,0.10002755,0.59988874,0.10002719,0.1000282
8,0.100030296,0.59987926,0.10003111,0.10002912,0.10003019
9,0.5998842,0.1000285,0.100030035,0.10002813,0.10002915
10,0.100030825,0.10002999,0.10003163,0.5998768,0.10003069
11,0.10002829,0.10002755,0.5998888,0.100027174,0.10002818
12,0.10002941,0.100028634,0.1000302,0.100028254,0.5998835
13,0.10002831,0.10002756,0.59988874,0.10002721,0.100028194
14,0.100030296,0.5998793,0.1000311,0.10002911,0.10003018
15,0.5998842,0.10002848,0.100030035,0.10002813,0.10002915
16,0.10003082,0.100030005,0.10003164,0.5998769,0.10003069
17,0.10003082,0.10003,0.10003164,0.5998768,0.10003069
18,0.10002831,0.10002756,0.59988874,0.1000272,0.1000282
19,0.5998842,0.1000285,0.10003006,0.10002812,0.100029156
20,0.100030825,0.10003,0.10003164,0.5998769,0.10003069
21,0.10003084,0.100030005,0.100031644,0.5998768,0.100030705
22,0.1000303,0.5998793,0.1000311,0.1000291,0.100030184
23,0.06668488,0.06668441,0.066685356,0.7332605,0.06668481
24,0.5998842,0.10002849,0.100030035,0.10002811,0.100029156
25,0.1000294,0.10002863,0.100030184,0.100028254,0.59988356
26,0.5998842,0.10002847,0.10003003,0.100028105,0.10002913
27,0.5998842,0.10002849,0.10003004,0.10002813,0.100029156
28,0.10003081,0.10003,0.10003164,0.5998769,0.1000307
29,0.100030296,0.5998793,0.100031085,0.1000291,0.100030184
30,0.10002831,0.10002756,0.59988874,0.100027196,0.100028194
31,0.10002941,0.10002863,0.10003019,0.10002826,0.5998835
32,0.1000308,0.10002998,0.10003162,0.59987694,0.10003069
33,0.1000294,0.10002863,0.100030184,0.100028254,0.59988356
34,0.10003081,0.100030005,0.10003163,0.5998768,0.1000307
35,0.100028306,0.10002756,0.59988874,0.10002719,0.100028194
36,0.1000283,0.10002755,0.59988874,0.10002719,0.100028194
37,0.06668489,0.067769326,0.06668536,0.7321756,0.06668482
38,0.10003028,0.5998794,0.10003109,0.100029096,0.10003018
39,0.5998842,0.1000285,0.10003004,0.10002812,0.10002915
40,0.100030825,0.10002999,0.10003164,0.5998769,0.10003068
41,0.5998842,0.100028485,0.10003005,0.10002813,0.10002916
42,0.100030296,0.59987926,0.100031115,0.10002912,0.100030184
43,0.10003029,0.5998793,0.10003109,0.1000291,0.10003018
44,0.10002942,0.10002864,0.100030206,0.10002826,0.5998835
45,0.06747565,0.06667689,0.06694896,0.7322217,0.06667678
46,0.10002942,0.10002863,0.10003019,0.100028254,0.5998835
47,0.1000283,0.10002756,0.5998887,0.1000272,0.100028194
48,0.10003029,0.5998793,0.1000311,0.1000291,0.10003018
49,0.10003028,0.5998793,0.10003109,0.1000291,0.10003017
50,0.100028306,0.10002755,0.59988874,0.10002719,0.100028194
51,0.068627454,0.39755115,0.067330666,0.399801,0.06668976
52,0.100030296,0.5998793,0.1000311,0.1000291,0.10003019
53,0.10002829,0.10002754,0.59988874,0.10002718,0.10002819
